party,name,url,face,chat,party_image,ynr_id
UK Independence Party (UKIP),Victoria Carolyn Ayling,https://www.choosemypcc.org.uk/candidates/lincolnshire/733/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Victoria-Ayling.jpg,"As a Lincolnshire County Councillor I meet residents all the time to listen to
their concerns. I believe living among the people I represent is essential to
do a good job.

I began my working life as a Barrister then had a business career. My adult
sons were educated in Lincolnshire and my teenage son is at school in
Horncastle. Now as a mother and local Councillor I have a real interest in
ensuring the best possible policing for everyone in Lincolnshire.

The police should not be politicised and should be independent-minded. Your
Police and Crime Commissioner needs to be answerable to the residents and not
some establishment political hierarchy. I can offer you this with UKIP as I
can work for you without fear or favour from anyone while still being part of
a strong lobbying force to get Lincolnshire a better financial deal. Policing
cannot be done on the cheap, and while volunteers offer a lot to our force,
they cannot plug the gaps left by lack of funding for full time Officers and
PCSOs.

I believe that there should be zero tolerance to crime and anti-social
behaviour. Crime is not a lifestyle option. People should feel safe and be
safe, and visible policing is the way to do this. Nothing can replace
uniformed presence on the beat with better use of PCSOs. All crime should be
recorded and reporting of crime made easier to build trust and confidence in
our policing.

If I am elected I will meet regularly with residents and ensure the Chief
Constable is held to account, bringing as much transparency and accountability
to the office as possible.



This address has been prepared on behalf of Victoria Ayling by her agent Mike
Beecham, 41 Accommodation Road, Horncastle, LN9 5AP



Mobile 07764 536867; email Victoria.ayling@gmail.com

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/UKIPlogo-1.jpg,411
The Conservative Party Candidate,Marc Stuart Jones,https://www.choosemypcc.org.uk/candidates/lincolnshire/marc-stuart-jones/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Marc-Jones.jpg,"As a born and bred Lincolnshire man who is dedicated to local public service,
I feel strongly that Lincolnshire deserves a competent and capable Police and
Crime Commissioner.

I have worked in business for a number of years and am also an Executive
County Councillor currently overseeing a £1 billion budget which includes fire
and rescue services, highways, children's services and adult care.

Setting and balancing the budget is a vital task for our Police and Crime
Commissioner. I understand the need to spend public money wisely and to drive
out inefficiency rather than cut front line services.

On *Thursday 5th May* I hope you will back *my 6 point plan for policing
and crime in Lincolnshire:

• *Introduce 'community constables'* to boost visible neighbourhood policing
by recruiting local people with powers of arrest to work at the heart of our
communities.

• *Focus on crime prevention* by spotting the warning signs of potential
issues in our communities early to reduce the number of victims of crime and
the fear of crime.

• *Deal with rural crime seriously* so that issues such as hare coursing,
theft of livestock, machinery, tools, vehicles and stock do not damage our
local economy and put local jobs at risk.

• *Clean up our streets* with a tough approach to street drinking, fly-
tipping, litter and excess noise which are a blight on our towns and
communities.

• *Treat victims of crime compassionately* with better support and effective
aftercare. Being a victim of crime is bad enough without feeling used by the
system.

•* Spend taxpayers' money wisely* leaving more for front line policing. Over
£165,000 was wasted on the unnecessary suspension of Lincolnshire's Chief
Constable in 2013.

Prepared by Luke Dorian at Office 1 Rasen Hub, 20 Union Street, Market Rasen,
LN8 3AA.

www.marcjones.org.uk, 01522 283014, marc@marcjones.org.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Emblem1_Col-Conservatives.jpg,4845
Labour Party,Lucinda Emmeline Preston,https://www.choosemypcc.org.uk/candidates/lincolnshire/lucinda-emmeline-preston/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Luci_election_admin_pic.jpg,"I'm not a career politician. I've lived in Lincolnshire all my life, working
full-time in teaching for fourteen years including in school management for
the past nine. Through my job I understand the need to deliver high standards
efficiently and effectively. I know the importance of setting out a clear
vision for what I wish to achieve and carefullly monitoring progress towards
carefully defined strategic objectives.

I'm committed to neighbourhood policing and preventing anti-social behaviour
so that people feel safe on the streets. I'm determined to tackle rural crime
- we deserve effective policing whether we live in a town, a village or on a
farm. Protecting the most vulnerable in our society, including older people,
children and victims of domestic abuse, is also vital. Working with children
has shown me that one of the best ways to cut crime is to stop crime happening
in the first place which is why I'll be developing further links between
schools and the police to support children making the right choices.

Protecting frontline policing, including PCSOs, is vital. We need to cut
crime, not police. I'll halt any further privatisation of police services, so
we're not putting even more of Lincolnshire taxpayers' hard-earned money into
the hands of big corporations. The force needs more resources, not fewer, so
I'll be fighting for a fairer funding formula.   With the increase in cyber
crime and online fraud we need a police force that's able to tackle 21st
century challenges. Above all, people need to feel safe and secure in their
homes and on the streets where they live and that is what I'll be focused on.

I, Lisa Holmes, of 19 Northfields, Bourne PE10 9DB confirm that I have
prepared this statement on behalf of Lucinda Preston.

Lucinda4Lincs@outlook.com

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Labour_Rose.jpg,7574
Labour Party Candidate,Gareth Derrick,https://www.choosemypcc.org.uk/candidates/devon-cornwall/gareth-derrick/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Gareth-Derrick.jpg,"Commodore Gareth Derrick is a former naval officer whose appointment in
command of the Royal Naval and Royal Marines Reserves completed in 2013. He
has deployed on operational tours in submarines and on land in both the 1991
and 2003 Iraq wars. Graduating with a Master's degree in International
Relations at Cambridge University in 2004, he served as a diplomat in the
British Embassy Tokyo from 2007 - 2010, where he worked with UK and Japanese
Ministers to secure high-level security co-operation between the two
countries.

Determined to bring Labour values to the role of Police Commissioner as in his
military career, he emphasises the need for fairness, honesty and teamwork in
the strategic leadership of policing. His priorities are to continue the fight
for proper funding, to restore effective local policing, and to ensure that
the Police and his own staff are truly engaged with the people of Devon,
Cornwall and the Isles of Scilly.

After discussing with people throughout the region their concerns about
policing he commented *""There is a clear need to restore effective local-
based policing, focused on crime risks that are changing rapidly and that vary
from place to place. I am determined to modernise the police workforce and
introduce new technology to ensure an ongoing visible presence, and provide
the skills to address the complex challenges of today's and tomorrow's crime.
Domestic abuse, sexual and other violent crimes, child sexual exploitation and
rapidly increasing and worrying internet based crime are doing so much harm to
our society. The most vulnerable and disadvantaged in society must get their
fair share of policing"".

Gareth is married, with 3 children and has made his home in Plymouth and the
surrounding areas since 1977.

Prepared by the election Agent Mr Chris Cuddihee at Yeo Farm, Ermington Road,
Ivybridge PL210LF

www.garethderrick.org

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/labour-colour.jpg,7813
The Conservative Party Candidate,Alison Hernandez,https://www.choosemypcc.org.uk/candidates/devon-cornwall/alison-hernandez/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Alison-Hernandez-PCC-Election-Address-Photo.jpeg,"Dear Voter

The *demands on the Police* are becoming more challenging:

  * The rise of modern slavery, residents of the UK are the third most trafficked in the world.
  * The rise of cyber crime, an age where you are more likely to be a victim of crime online, than in the street where you live.
  * The rise of terrorism with recent attacks in Paris and Brussels.

What I will do for you:

What makes me right for this role?

  * Years spent *running my own business, working alongside* and *getting the best out of the Police*. I've helped leaders run their organisations better in the UK and internationally. I want to continue getting the best out of the Police.
  * *Proven leadership* *and teamwork* as a *national award winning* former Councillor, regional award winning community campaigner, and local award winning crime fighter. I want to help Devon and Cornwall Police's successes be recognised and celebrated.
  * Co-Founder of Torbay Social Media Cafe - free events helping *support organisations to better use social media*. I will develop Cyber Crime Cafes to keep people safe online.

Please choose *Alison Hernandez as your first choice*.

Yours faithfully,

Alison

This election address has been prepared by Lucille Baker, Election Agent, 9c
Mill Park, White Cross Rd, Woodbury Salterton, EX5 1EL.

www.alisonhernandez.co.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Emblemcon16.jpg,7613
Independent,William Morris,https://www.choosemypcc.org.uk/candidates/devon-cornwall/william-morris/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/william-morris.jpg,"Our society is built on the bedrock of integrity and compassion, to secure
which, on my watch, our Police Force will deliver law and order through
protecting the vulnerable and supporting the values we cherish through:

  * Targeted Zero Tolerance in areas with increasing levels of violence.
  * Community Payback to reduce pressure on the criminal justice system.
  * Greater priority to wildlife and farm crime.
  * Drunk Tanks.
  * Youth Detox.
  * More random vehicle spot checks.
  * Enhanced community engagement.

We have a precious safe haven in Devon and Cornwall and the Isles of Scilly.
However, levels of violent crime resulting in injury buck the trend and are
increasing, as do levels of rape and family abuse, often alcohol related. On
my watch, these levels will be reversed.

We will deliver the best for the South West. There will be no further police
station closures and counter services will be restored by training more
special constables.

Can this level of policing be sustained in an era of wanton cuts? Yes it can
with sufficient vision, energy and vigilance.

As a practicing Christian, I believe in a world in which we each place an
equal value on one another, gay or straight, black or white, those of all
religions and those of none. Above all else I believe in respect for each
other and respect for the precious environment we hold dear.

If you wish to study my policies in detail, they are explained in a series of
videos which will be released on my blog during the course of this campaign. I
hope you will find them of interest:
_https://southwestjustice.wordpress.com_

I ask to be entrusted with your vote. Vote independent. Vote William Morris. I
shall not let you down.

(Prepared by the Election Agent, Hon. Mark G. Hambley, Angwinack Cottage,
Ludgvan, Penzance TR20 8BN)

",,15986
UK Independence Party (UKIP),Jonathan Leslie Smith,https://www.choosemypcc.org.uk/candidates/devon-cornwall/jonathan-leslie-smith/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Jonathan-Smith.jpg,"Jonathan retired from the Police Force in 2015 having completed 30 years
service in the South West. He remained as a Police Constable, working at the
coal face, was commended for outstanding Police Service and has experienced
the damage and pain caused by Government meddling .

He is not a politician nor has he ever been one, he is one of the people and
believes passionately in an independent but accountable Police Service, free
from political interference. He is not new to fighting to save our Unique
British Bobby having attended Parliament on numerous occasions to highlight
this cause.

The imposition of the Police and Crime Commissioner provides the opportunity
for politicians to direct Police Forces according to their own doctrine at the
expense of Community priorities. The Office of The Police and Crime
Commissioner will cost the Devon and Cornwall tax payer millions of pounds
over the next four years.  This money would be far better spent on the Police
Service instead of that extra level of bureaucracy it provides at the moment.

The job description of the Police and Crime Commissioner reflects that of the
French Mayor.  Do we really want a Europol governed political police service?

That is why Jonathan wants to expose the gross misuse of public funds
associated with this role and lobby for its dissolution.

He wants to reverse the policy of withdrawing police visibility from the
community, review station closures and overhaul the 101 telephone system.  He
wants to listen to your opinions, ensure ALL crimes are recorded and
prioritise local issues instead of Government performance targets.  We can
still stop the destruction of what was the best police force in the world, but
we MUST act now.

Address prepared by

Tony McIntyre, 4, Frogwell Cottages, Frogwell, Tiverton EX168BQ

www.jonathansmith.org.uk

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/ukip-colour-1.png,7814
Independent,Bob Spencer,https://www.choosemypcc.org.uk/candidates/devon-cornwall/bob-spencer/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Bob-Spencer.jpg,"Bob Spencer is an inspirational leader with vast knowledge and experience of
UK Policing. His extensive range of both operational and strategic management
took him to the heart of sensitive enquiries in the UK, Europe and USA.  With
command of over 3,000 Police officers and staff, he has successfully managed
multi-million pound budgets, delivering efficiency savings whilst improving
performance.

Exceptionally calm under pressure, amongst many high-profile major incidents
he commanded was the response to the Exeter Giraffe Restaurant terrorist
bombing and its aftermath, receiving extremely favourable feedback from the
Home Secretary.

Bob has served in large urban Policing environments, commanding response to
gangland murders and shootings and, in rural communities, such diverse issues
as the Foot-and-Mouth Disease outbreak in Devon and the aftermath of several
terrorist activities across Devon and Cornwall.

Since leaving the Police as Acting Assistant Chief Constable 7 years ago, he
has broadened his experience advising Government and blue-chip companies on
crisis management and leadership. For nearly five years he was also a member
of Devon's Magistracy.  With a strong understanding of partner agencies and
most importantly victims of crime, he has acted as independent chair of both
Devon and Torbay's Safeguarding Boards, tasks including child sexual
exploitation and vulnerable adult safeguarding.

No stranger to tough decisions, Bob has dismissed senior executives who have
failed to perform. He will actively listen to the community to ensure policing
meets their crime prevention and policing needs.  Critically he has the skills
and experience needed to challenge the Devon and Cornwall police to ensure
they deliver for the people of Devon, Cornwall, Torbay, Plymouth and Isles of
Scilly.

As an Independent, Bob would be free to act and free to speak on your behalf
without political pressure.

Prepared by: Miles Freeman, 1 Brookfield Cottages, Lympstone, Devon, EX8 5ES.

http://bob-spencer-4-pcc.co.uk

",,7815
Liberal Democrats,Richard Younger-Ross,https://www.choosemypcc.org.uk/candidates/devon-cornwall/richard-younger-ross/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/RichardYoungerRoss.jpg,"Former Liberal Democrat MP, Richard Younger- Ross, to stand for election as
the new Police and Crime Commissioner.

Richard is an experienced campaigner and as Commissioner he will make the
strongest case for Devon and Cornwall. His knowledge of Whitehall and how
Westminster works is going to be vital to our securing the fair funding deal
that our police force needs.

Richard has three main priorities:

  * To secure a fair funding deal for the Devon and Cornwall Police Force.
  * To maintain and improve the visibility of our police force and improve the 101 service.
  * To protect the Force from a forced merger with Somerset and Avon which would only make decision making more remote.

His knowledge of the scrutiny process from the Defence Select committee gives
him the skills to hold the Chief Constable to account.

He will be a truly independently minded Commissioner.

Richard will also press Government to abolish the post of Police and Crime
Commissioner.

Richard believes that we need a strong democratic oversight of the Police,
that listens to communities and gives them a greater say in how our streets
are policed. We do not need that power given to a single person nor can we
have the Police policing themselves. We need a strong body that can call on
expert advice but is part of the community. This would be better done by
something like the old Police Authority but with the same powers as have been
given to the Police and Crime Commissioner. This will save money and allow
more resources for more police officers.  Richard will work hard and in
partnership with others to achieve this.

This statement has been prepared on behalf of Richard Younger-Ross by Sally
Morgan, 14 Bonds Meadow, Bovey Tracey, Devon, TQ13 9JE.

Ryr4pcc.lib.dm

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Logo-106.jpg,1068
UK Independence Party (UKIP),Mark James Hughes,https://www.choosemypcc.org.uk/candidates/hertfordshire/mark-james-hughes/,https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Mark-Hughes-1.png,"I have lived in Hertfordshire all my life, initially in Cheshunt and
Hoddesdon, briefly in Codicote and more recently in Royston.

As an independent member of the Herts Police Joint Audit Committee, I have
gained a very useful insight into what is wrong with policing in the county.

The number of operational police stations has nosedived from 15 down to just
4. Many Hertfordshire residents now find themselves miles from their nearest
police hub. The emergency calls target is to dispatch officers within a three
minute period - currently over 40% fail to meet this target. Hertfordshire has
seen crime such as burglary rise as a result of short sighted decisions which
are to your detriment.

Our greatest resource in tackling crimes is the professionalism of Police
Officers and the dedication of support staff. We need to ensure that this is
not jeopardised for short term political expedience.

  * I will hold the police to account on behalf of the public. I will also hold the Chief Constable to account for the performance of the force.
  * I will provide the link between the police and communities working to turn your aspirations, in terms of policing and crime reduction, into action.
  * I will seek to improve policing, deliver community safety and reduce crime, while ensuring value for money.
  * I will set the strategic direction and aims for Herts Police through the Police and Crime Plan.

My key pledges

  * Prioritising the victim and ensuring the offender faces justice.
  * Zero tolerance on crime including anti-social behaviour.
  * A clampdown on bail, for those deemed likely to abscond.
  * More visibility of police on our streets.
  * Crackdown on speeding in villages and residential areas.
  * Overhaul of the police complaints system.

www.MarkHughes.info

mark.hughes@ukiplocal.org

_*@MarkJHughes*_

Promoted by Mark Hughes of Sovereign Chambers, 42 Upper King Street, Royston, Herts, SG8 9BA.

",https://1rbena1k2rviaenzl3kexmgl-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/ukipLogo.jpg,5496
