id,constituency,time
320,Houghton & Sunderland South,23:00
551,Sunderland Central,23:30
603,Washington & Sunderland West,00:01
341,Kettering,00:30
560,Swindon North,00:30
14,Antrim North,01:00
38,Battersea,01:00
255,Foyle,01:00
414,Newcastle upon Tyne Central,01:00
415,Newcastle upon Tyne East,01:00
435,Nuneaton,01:00
462,Putney,01:00
106,Broxbourne,01:30
176,Darlington,01:30
347,Lagan Valley,01:30
561,Swindon South,01:30
562,Tamworth,01:30
574,Tooting,01:30
584,Tyrone West,01:30
641,Wrexham,01:30
12,Angus,02:00
13,Antrim East,02:00
45,Belfast East,02:00
71,Blaenau Gwent,02:00
111,Bury North,02:00
112,Bury South,02:00
121,Cambridgeshire North West,02:00
131,Carmarthen East & Dinefwr,02:00
135,Ceredigion,02:00
154,Clwyd South,02:00
202,Down North,02:00
223,"East Kilbride, Strathaven & Lesmahagow",02:00
239,Epping Forest,02:00
245,Falkirk,02:00
246,Fareham,02:00
250,Fife North East,02:00
269,Glenrothes,02:00
285,Halton,02:00
298,Hastings & Rye,02:00
339,Kenilworth & Southam,02:00
342,Kilmarnock & Loudoun,02:00
345,Kirkcaldy & Cowdenbeath,02:00
375,Llanelli,02:00
407,Na h-Eileanan an Iar,02:00
416,Newcastle upon Tyne North,02:00
443,Oxford East,02:00
451,Peterborough,02:00
471,Ribble Valley,02:00
487,Rutherglen & Hamilton West,02:00
542,Strangford,02:00
552,Surrey East,02:00
571,Thurrock,02:00
586,Upper Bann,02:00
15,Antrim South,02:30
16,Arfon,02:30
109,Burnley,02:30
114,Caerphilly,02:30
134,Castle Point,02:30
211,Dundee East,02:30
212,Dundee West,02:30
296,Hartlepool,02:30
330,Inverclyde,02:30
334,Islington North,02:30
335,Islington South & Finsbury,02:30
361,Leigh,02:30
379,Ludlow,02:30
399,Mitcham & Morden,02:30
402,Montgomeryshire,02:30
406,Motherwell & Wishaw,02:30
446,Paisley & Renfrewshire South,02:30
522,South Shields,02:30
533,Stirling,02:30
564,Taunton Deane,02:30
576,Torfaen,02:30
577,Totnes,02:30
588,Vale of Clwyd,02:30
602,Warwickshire North,02:30
621,Wimbledon,02:30
647,Ynys Mon,02:30
1,Aberavon,03:00
2,Aberconwy,03:00
6,Airdrie & Shotts,03:00
10,Alyn & Deeside,03:00
11,Amber Valley,03:00
25,Ayrshire North & Arran,03:00
28,Barking,03:00
29,Barnsley Central,03:00
30,Barnsley East,03:00
32,Basildon & Billericay,03:00
33,Basildon South & Thurrock East,03:00
46,Belfast North,03:00
47,Belfast South,03:00
48,Belfast West,03:00
55,Bexleyheath & Crayford,03:00
66,Bishop Auckland,03:00
67,Blackburn,03:00
76,Bolton North East,03:00
77,Bolton South East,03:00
79,Bootle,03:00
82,Bournemouth East,03:00
83,Bournemouth West,03:00
89,Brecon & Radnorshire,03:00
90,Brent Central,03:00
91,Brent North,03:00
100,Bristol North West,03:00
110,Burton,03:00
125,Canterbury,03:00
130,Carlisle,03:00
149,Chorley,03:00
150,Christchurch,03:00
153,Cleethorpes,03:00
155,Clwyd West,03:00
156,"Coatbridge, Chryston & Bellshill",03:00
165,Coventry North East,03:00
166,Coventry North West,03:00
167,Coventry South,03:00
168,Crawley,03:00
174,Cynon Valley,03:00
175,Dagenham & Rainham,03:00
179,Delyn,03:00
182,Derby South,03:00
186,Derbyshire South,03:00
209,Dunbartonshire East,03:00
210,Dunbartonshire West,03:00
213,Dunfermline & Fife West,03:00
217,Dwyfor Meirionnydd,03:00
218,Ealing Central & Acton,03:00
219,Ealing North,03:00
220,Ealing Southall,03:00
221,Easington,03:00
224,East Lothian,03:00
226,Eastleigh,03:00
238,Enfield Southgate,03:00
241,Erewash,03:00
244,Exeter,03:00
262,Glasgow Central,03:00
263,Glasgow East,03:00
264,Glasgow North,03:00
265,Glasgow North East,03:00
266,Glasgow North West,03:00
267,Glasgow South,03:00
268,Glasgow South West,03:00
272,Gosport,03:00
286,Hammersmith,03:00
290,Hampstead & Kilburn,03:00
293,Harrogate & Knaresborough,03:00
299,Havant,03:00
309,Hertfordshire North East,03:00
316,Holborn & St Pancras,03:00
318,Hornsey & Wood Green,03:00
323,Hull East,03:00
324,Hull North,03:00
325,Hull West & Hessle,03:00
326,Huntingdon,03:00
